SORT,VarID,VarTitle,VarDefinition,VarCategory,VarType,Source,UserNotes,VarID_OrignalCode,VarID_Code,Count,OriginalCode_1,OriginalCode_2,OriginalCode_3,OriginalCode_4,OriginalCode_5,CodeDescription,DoubleCoding_notes,ShortName
396,,,,,,,,38_3_2,38_12,6,3,2,,,,The following two points are double coded: 1) The conversation has both lax (low) and moderate stress. and 2) The conversation has both lax (low) and forceful stress.,,Lax/moderate and Lax/forc
397,,,,,,,,38_4,38_16,39,4,,,,,The conversation has a predominantly moderate level of stress.,,Predominantly moderate
398,,,,,,,,38_4_1,38_18,1,4,1,,,,The following two points are double coded: 1) The conversation is predominantly lax-- low level of stress or accent. and 2) The conversation has a predominantly moderate level of stress.,,Predominantly lax and Predominantly moderate
399,,,,,,,,38_4_2,38_20,5,4,2,,,,The following two points are double coded: 1) The conversation has both lax (low) and moderate stress. and 2) The conversation has a predominantly moderate level of stress.,,Lax/moderate and Predominantly moderate
400,,,,,,,,38_4_3,38_24,2,4,3,,,,The following two points are double coded: 1) The conversation has both lax (low) and forceful stress. and 2) The conversation has a predominantly moderate level of stress.,,Lax/forc and Predominantly moderate
401,,,,,,,,38_5,38_32,58,5,,,,,The conversation has both moderate and forceful stress.,,Moderate/forc
402,,,,,,,,38_5_2,38_36,2,5,2,,,,The following two points are double coded: 1) The conversation has both lax (low) and moderate stress. and 2) The conversation has both moderate and forceful stress.,,Lax/moderate and Moderate/forc
403,,,,,,,,38_5_3,38_40,2,5,3,,,,The following two points are double coded: 1) The conversation has both lax (low) and forceful stress. and 2) The conversation has both moderate and forceful stress.,,Lax/forc and Moderate/forc
404,,,,,,,,38_5_4,38_48,9,5,4,,,,The following two points are double coded: 1) The conversation has a predominantly moderate level of stress. and 2) The conversation has both moderate and forceful stress.,,Predominantly moderate and Moderate/forc
405,,,,,,,,38_6,38_64,2,6,,,,,The conversation has a predominantly forceful level of stress.,,Predominantly forc
406,,,,,,,,38_6_5,38_96,8,6,5,,,,The following two points are double coded: 1) The conversation has both moderate and forceful stress. and 2) The conversation has both moderate and forceful stress.,,Moderate/forc and Predominantly forc
407,,,,,,,,38_6_5_4_3_2,38_124,7,6,5,4,3,2,,,
408,,,,,,,,38_7,38_128,5,7,,,,,The conversation has a varied stress level.,,Varied
409,V39,Tempo,"The pace or tempo of the conversation, using a scale based on styles of tempo that were frequent in real examples of speech.",Dynamics,Categorical,Lomax & Markel (1971-72); Wood (2021),,39_NA,39_NA,0,NA,,,,,Missing data,,Missing data
410,,,,,,,,39_1,39_2,7,1,,,,,The tempo of the conversation is slow and steady throughout.,,Steadily slow
411,,,,,,,,39_2,39_4,16,2,,,,,"The tempo of the conversation is generally unhurried, but varies throughout the conversation.",,Unhurry w/ variation
412,,,,,,,,39_2_1,39_6,1,2,1,,,,,,
413,,,,,,,,39_3,39_8,37,3,,,,,"The tempo of the conversation is moderate, but there are considerable pauses breaking up the moderate pace.",,Moderate between pauses
414,,,,,,,,39_3_1,39_10,3,3,1,,,,,,
415,,,,,,,,39_3_2,39_12,6,3,2,,,,,,
416,,,,,,,,39_4,39_16,13,4,,,,,The tempo of the conversation is even and moderate throughout.,,Even and moderate
417,,,,,,,,39_4_2,39_20,1,4,2,,,,,,
418,,,,,,,,39_4_3,39_24,3,4,3,,,,,,
419,,,,,,,,39_5,39_32,22,5,,,,,"The tempo of the conversation is rapid, but there are considerable pauses breaking up the rapid pace.",,Rapid between pauses
420,,,,,,,,39_5_3,39_40,5,5,3,,,,,,
421,,,,,,,,39_6,39_64,25,6,,,,,"The tempo of the conversation is generally hurried, but varies throughout the conversation.",,Hurry w/ variation
422,,,,,,,,39_6_3,39_72,1,6,3,,,,,,
423,,,,,,,,39_6_4,39_80,1,6,4,,,,,,
424,,,,,,,,39_6_5,39_96,2,6,5,,,,,,
425,,,,,,,,39_7,39_128,5,7,,,,,The tempo of the conversation is steadily hurried throughout.,,Steadily hurry
426,,,,,,,,39_8,39_256,18,8,,,,,"The tempo of the conversation varies throughout, and there is no predominant tempo as defined in any of the other scale points.",,Varied
427,,,,,,,,39_8_2,39_260,2,8,2,,,,,,
428,,,,,,,,39_8_3,39_264,8,8,3,,,,,,
429,,,,,,,,39_8_4,39_272,2,8,4,,,,,,
430,,,,,,,,39_8_4_3,39_280,1,8,4,3,,,,,
431,,,,,,,,39_8_5,39_288,4,8,5,,,,,,
432,,,,,,,,39_8_5_3,39_296,2,8,5,3,,,,,
433,,,,,,,,39_8_6,39_320,2,8,6,,,,,,
434,,,,,,,,39_8_6_2,39_324,1,8,6,2,,,,,
435,V40,Soft Volume,The frequency of markedly soft speaking volume.,Dynamics,Ordinal,Lomax & Markel (1971-72); Wood (2021),,40_NA,40_NA,0,NA,,,,,Missing data,,Missing data
436,,,,,,,,40_1,40_2,55,1,,,,,"Soft speaking volume is not heard at all or are heard only in one or two brief, non-noteworthy instances.",,Little/none
437,,,,,,,,40_2,40_4,33,2,,,,,"Soft speaking volume is infrequent, but noteworthy.",,Occasional
438,,,,,,,,40_2_1,40_6,12,2,1,,,,,,
439,,,,,,,,40_3,40_8,14,3,,,,,Soft speaking volume is intermittent and marked.,,"Intermittent, marked"
440,,,,,,,,40_3_1,40_10,2,3,1,,,,,,
441,,,,,,,,40_3_2,40_12,4,3,2,,,,,,
442,,,,,,,,40_4,40_16,13,4,,,,,Speaking volume is consistenly softened.,,Softened
443,,,,,,,,40_4_1,40_18,4,4,1,,,,,,
444,,,,,,,,40_4_2,40_20,2,4,2,,,,,,
445,,,,,,,,40_4_3,40_24,2,4,3,,,,,,
446,,,,,,,,40_5,40_32,23,5,,,,,Speaking volume is predominantly soft.,,Predominantly soft
447,,,,,,,,34_5_1,34_34,3,5,1,,,,,,
448,,,,,,,,34_5_2,34_36,5,5,2,,,,,,
449,,,,,,,,34_5_3,34_40,5,5,3,,,,,,
450,,,,,,,,34_5_4,34_48,1,5,4,,,,,,
451,,,,,,,,40_6,40_64,1,6,,,,,Words are whispered rather than spoken.,,Whispered
452,,,,,,,,40_6_3,40_72,3,6,3,,,,,,
453,,,,,,,,40_6_4,40_80,1,6,4,,,,,,
454,,,,,,,,40_6_5,40_96,2,6,5,,,,,,
455,,,,,,,,40_6_5_3,40_104,3,6,5,3,,,,,
456,V41,Loud Volume,The frequency of markedly loud speaking volume.,Dynamics,Ordinal,Lomax & Markel (1971-72); Wood (2021),,41_NA,41_NA,0,NA,,,,,Missing data,,Missing data
457,,,,,,,,41_1,41_2,45,1,,,,,"Loud speaking volume is not heard at all or are heard only in one or two brief, non-noteworthy instances.",,Little/none
458,,,,,,,,41_2,41_4,30,2,,,,,"Loud speaking volume is infrequent, but noteworthy.",,Occasional
459,,,,,,,,41_2_1,41_6,12,2,1,,,,,,
460,,,,,,,,41_3,41_8,52,3,,,,,Loud speaking volume is intermittent and marked.,,"Intermittent, marked"
461,,,,,,,,41_3_1,41_10,8,3,1,,,,,,
462,,,,,,,,41_3_2,41_12,11,3,2,,,,,,
463,,,,,,,,41_4,41_16,9,4,,,,,Speaking volume is consistenly loudened.,,Loudened
464,,,,,,,,41_4_1,41_18,3,4,1,,,,,,
465,,,,,,,,41_4_2,41_20,2,4,2,,,,,,
466,,,,,,,,41_4_3,41_24,6,4,3,,,,,,
467,,,,,,,,41_5,41_32,2,5,,,,,Speaking volume is predominantly loud.,,Predominantly loud
468,,,,,,,,41_5_4,41_48,1,5,4,,,,,,
469,,,,,,,,41_5_4_3,41_56,1,5,4,3,,,,,
470,,,,,,,,41_6,41_64,0,6,,,,,Words are shouted rather than spoken.,,Shouting
471,,,,,,,,41_6_3,41_72,1,6,3,,,,,,
472,,,,,,,,41_6_5,41_96,4,6,5,,,,,,
473,,,,,,,,41_6_5_4_3,41_120,1,6,5,4,3,,,,
474,V42,Pitch Pattern,The degree of patterning in the pitch of the speech.,Pitch,Ordinal,Lomax & Markel (1971-72); Wood (2021),,42_NA,42_NA,3,NA,,,,,Missing data,,Missing data
475,,,,,,,,42_1,42_2,33,1,,,,,The level of pitch is maintained by the speaker at a rather even level.,,Rather even
476,,,,,,,,42_2,42_4,31,2,,,,,There are regular patterns of pitch.,,Regular patterns
477,,,,,,,,42_2_1,42_6,7,2,1,,,,,,
478,,,,,,,,42_3,42_8,88,3,,,,,Pitch is varied.,,Varied
479,,,,,,,,42_3_1,42_10,8,3,1,,,,,,
480,,,,,,,,42_3_2,42_12,6,3,2,,,,,,
481,,,,,,,,42_3_2_1,42_14,1,3,2,1,,,,,
482,,,,,,,,42_4,42_16,7,4,,,,,Pitch is markedly varied.,,Marked use of variation
483,,,,,,,,42_4_2,42_20,2,4,2,,,,,,
484,,,,,,,,42_4_3,42_24,2,4,3,,,,,,
485,V43,Pitch Range,The most prominent range of pitch used throughout the speech.,Pitch,Ordinal,Lomax & Markel (1971-72); Wood (2021),,43_NA,43_NA,0,NA,,,,,Missing data,,Missing data
486,,,,,,,,43_1,43_2,54,1,,,,,"A very narrow range of pitch, approaching a monotone.",,Small
487,,,,,,,,43_2,43_4,83,2,,,,,"An intermediate range of pitch, with subtle rises and falls in pitch.",,Medium
488,,,,,,,,43_2_1,43_6,24,2,1,,,,,,
489,,,,,,,,43_3,43_8,17,3,,,,,"A wide range of pitch, using many high and low notes.",,Wide
490,,,,,,,,43_3_1,43_10,1,3,1,,,,,,
491,,,,,,,,43_3_2,43_12,9,3,2,,,,,,
492,V44,High Notes,The frequency of notes or passages at a markedly higher pitch than the rest of the speech.,Pitch,Categorical,Lomax & Markel (1971-72); Wood (2021),,44_NA,44_NA,0,NA,,,,,Missing data,,Missing data
493,,,,,,,,44_1,44_2,107,1,,,,,"High notes are not heard at all or are heard only in one or two brief, non-noteworthy instances.",,Little/none
494,,,,,,,,44_2,44_4,46,2,,,,,"High notes are infrequent, but noteworthy.",,Occasional
495,,,,,,,,44_2_1,44_6,17,2,1,,,,,,
496,,,,,,,,44_3,44_8,9,3,,,,,High notes are frequent.,,Frequent
497,,,,,,,,44_3_2,44_12,2,3,2,,,,,,
498,,,,,,,,44_4,44_16,0,4,,,,,There are stretches of frequent high notes in a speech with otherwise unremarkable levels of high notes.,,Stretches
499,,,,,,,,44_4_2,44_20,3,4,2,,,,,,
500,,,,,,,,44_4_3,44_24,4,4,3,,,,,,
501,V45,Descending cadence,The absence or presence of phrases in which the pitch becomes progressively lower.,Phrase Ends,Categorical,Lomax & Markel (1971-72); Wood (2021),,45_NA,45_NA,13,NA,,,,,Missing data,,Missing data
502,,,,,,,,45_1,45_2,143,1,,,,,Descending cadences at the ends of phrases are not marked.,,Absence
503,,,,,,,,45_2,45_4,19,2,,,,,Descending cadences at the ends of phrases are marked.,,Presence
504,,,,,,,,45_2_1,45_6,13,2,1,,,,,,
505,V46,Upglides,The absence or presence of a quick final rise in pitch at the end of a phrase.,Phrase Ends,Categorical,Lomax & Markel (1971-72); Wood (2021),,46_NA,46_NA,13,NA,,,,,Missing data,,Missing data
506,,,,,,,,46_1,46_2,108,1,,,,,Upglides at the ends of phrases are not marked.,,Absence
507,,,,,,,,46_2,46_4,41,2,,,,,Upglides at the ends of phrases are marked.,,Presence
508,,,,,,,,46_2_1,46_6,26,2,1,,,,,,
509,V47,Prolongations,The absence or presence of prolongations at the end of a phrase.,Phrase Ends,Categorical,Lomax & Markel (1971-72); Wood (2021),,47_NA,47_NA,13,NA,,,,,Missing data,,Missing data
510,,,,,,,,47_1,47_2,113,1,,,,,Prolongations at the ends of phrases are not marked.,,Absence
511,,,,,,,,47_2,47_4,49,2,,,,,Prolongations at the ends of phrases are marked.,,Presence
512,,,,,,,,47_2_1,47_6,13,2,1,,,,,,
513,V48,Softening,The absence or presence of softened volume at the end of a phrase.,Phrase Ends,Categorical,Lomax & Markel (1971-72); Wood (2021),,48_NA,48_NA,13,NA,,,,,Missing data,,Missing data
514,,,,,,,,48_1,48_2,92,1,,,,,Softening at the ends of phrases are not marked.,,Absence
515,,,,,,,,48_2,48_4,61,2,,,,,Softening at the ends of phrases are marked.,,Presence
516,,,,,,,,48_2_1,48_6,22,2,1,,,,,,
517,V49,Clipping,The absence or presence of phrases that end so abruptly that they sound as if they were clipped or chopped off.,Phrase Ends,Categorical,Lomax & Markel (1971-72); Wood (2021),,49_NA,49_NA,17,NA,,,,,Missing data,,Missing data
518,,,,,,,,49_1,49_2,73,1,,,,,Clipped phrase ends are not marked.,,Absence
519,,,,,,,,49_2,49_4,86,2,,,,,Clipped phrase ends are marked.,,Presence
